EmployeeID_Code,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome (km),Education (Years),EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,Salary Hike,PerformanceRating,RelationshipSatisfaction,StandardHours,Segment,PredictedAttritionRisk
RM172,19.0,18-25,Yes,Travel Frequently,602.0,Sales,1.0,1.0,Technical Degree,1.0,-1,3.0,Female,100.0,1.0,1.0,Sales Representative,1.0,Single,2325.0,Upto 5k,20989.0,0.0,Y,No,21.0,0.21,4.0,1.0,80,0,0.726665576177952
RM975,27.0,26-35,No,Travel Frequently,793.0,Sales,2.0,1.0,Life Science,1.0,1371,4.0,Male,43.0,1.0,2.0,Sales Executive,4.0,Single,5071.0,5k-10k,20392.0,3.0,Y,No,20.0,0.2,4.0,2.0,80,0,0.1757775190802521
RM1403,31.0,26-35,No,Travel Rarely,1276.0,Research & Development,2.0,1.0,Medical,1.0,1974,4.0,Female,59.0,1.0,1.0,Laboratory Technician,4.0,Divorced,1129.0,Upto 5k,17536.0,1.0,Y,Yes,11.0,0.11,3.0,3.0,80,3,0.47254453311972794
RM750,52.0,46-55,Yes,Travel Rarely,266.0,Sales,2.0,1.0,Marketing,1.0,1038,1.0,Female,57.0,1.0,5.0,Manager,4.0,Married,19845.0,15k+,25846.0,1.0,Y,No,15.0,0.15,3.0,4.0,80,2,0.1539449063562241
RM747,41.0,36-45,No,Non Travel,247.0,Research & Development,7.0,1.0,Life Science,1.0,1035,2.0,Female,55.0,1.0,5.0,Research Director,3.0,Divorced,19973.0,15k+,20284.0,1.0,Y,No,22.0,0.22,4.0,2.0,80,2,0.04114900282268042
RM735,22.0,18-25,No,Travel Rarely,217.0,Research & Development,8.0,1.0,Life Science,1.0,1019,2.0,Male,94.0,1.0,1.0,Laboratory Technician,1.0,Married,2451.0,Upto 5k,6881.0,1.0,Y,No,15.0,0.15,3.0,1.0,80,3,0.27603493924752326
RM1091,29.0,26-35,No,Travel Rarely,441.0,Research & Development,8.0,1.0,Other,1.0,1544,3.0,Female,39.0,1.0,2.0,Healthcare Representative,1.0,Married,9715.0,5k-10k,7288.0,3.0,Y,No,13.0,0.13,3.0,3.0,80,3,0.13855944374325316
RM437,33.0,26-35,Yes,Travel Rarely,587.0,Research & Development,10.0,1.0,Medical,1.0,584,1.0,Male,38.0,1.0,1.0,Laboratory Technician,4.0,Divorced,3408.0,Upto 5k,6705.0,7.0,Y,No,13.0,0.13,3.0,1.0,80,1,0.6498165975111598
RM860,29.0,26-35,No,Travel Rarely,942.0,Research & Development,15.0,1.0,Life Science,1.0,1202,2.0,Female,69.0,1.0,1.0,Research Scientist,4.0,Married,2168.0,Upto 5k,26933.0,0.0,Y,Yes,18.0,0.18,3.0,1.0,80,0,0.2948270739485968
RM027,32.0,26-35,Yes,Travel Frequently,1125.0,Research & Development,16.0,1.0,Life Science,1.0,33,2.0,Female,72.0,1.0,1.0,Research Scientist,1.0,Single,3919.0,Upto 5k,4681.0,1.0,Y,Yes,22.0,0.22,4.0,2.0,80,0,0.540918663784485
RM1223,24.0,18-25,Yes,Travel Rarely,240.0,Human Resources,22.0,1.0,Human Resources,1.0,1714,4.0,Male,58.0,1.0,1.0,Human Resources,3.0,Married,1555.0,Upto 5k,11585.0,1.0,Y,No,11.0,0.11,3.0,3.0,80,3,0.32474735422822804
RM912,25.0,18-25,Yes,Travel Frequently,599.0,Sales,24.0,1.0,Life Science,1.0,1273,3.0,Male,73.0,1.0,1.0,Sales Representative,4.0,Single,1118.0,Upto 5k,8040.0,1.0,Y,Yes,14.0,0.14,3.0,4.0,80,3,0.814098445071505
RM1074,28.0,26-35,No,Travel Rarely,1083.0,Research & Development,29.0,1.0,Life Science,1.0,1514,3.0,Male,96.0,1.0,2.0,Manufacturing Director,2.0,Married,6549.0,5k-10k,3173.0,1.0,Y,No,14.0,0.14,3.0,2.0,80,3,0.11937885568843301
RM1325,29.0,26-35,No,Travel Rarely,726.0,Research & Development,29.0,1.0,Life Science,1.0,1859,4.0,Male,93.0,1.0,2.0,Healthcare Representative,3.0,Divorced,6384.0,5k-10k,21143.0,8.0,Y,No,17.0,0.17,3.0,4.0,80,1,0.15819562540789245
RM572,26.0,26-35,No,Travel Frequently,575.0,Research & Development,1.0,2.0,Life Science,1.0,792,1.0,Female,71.0,1.0,1.0,Laboratory Technician,4.0,Divorced,4364.0,Upto 5k,5288.0,3.0,Y,No,14.0,0.14,3.0,1.0,80,3,0.33828022004688796
RM541,28.0,26-35,Yes,Travel Rarely,654.0,Research & Development,1.0,2.0,Life Science,1.0,741,1.0,Female,67.0,1.0,1.0,Research Scientist,2.0,Single,2216.0,Upto 5k,3872.0,7.0,Y,Yes,13.0,0.13,3.0,4.0,80,1,0.8176465625521167
RM1238,32.0,26-35,Yes,Travel Rarely,964.0,Sales,1.0,2.0,Life Science,1.0,1734,1.0,Male,34.0,1.0,2.0,Sales Executive,2.0,Single,6735.0,5k-10k,12147.0,6.0,Y,No,15.0,0.15,3.0,2.0,80,1,0.593020433363881
RM336,40.0,36-45,No,Travel Rarely,1124.0,Sales,1.0,2.0,Medical,1.0,453,2.0,Male,57.0,1.0,2.0,Sales Executive,4.0,Married,7457.0,5k-10k,13273.0,2.0,Y,Yes,22.0,0.22,4.0,3.0,80,0,0.16497690278533025
RM565,45.0,36-45,No,Travel Rarely,954.0,Sales,2.0,2.0,Technical Degree,1.0,783,2.0,Male,46.0,1.0,2.0,Sales Representative,3.0,Single,6632.0,5k-10k,12388.0,0.0,Y,No,13.0,0.13,3.0,1.0,80,3,0.18960976493466672
RM956,55.0,46-55,No,Travel Rarely,282.0,Research & Development,2.0,2.0,Medical,1.0,1336,4.0,Female,58.0,1.0,5.0,Manager,3.0,Married,19187.0,15k+,6992.0,4.0,Y,No,14.0,0.14,3.0,4.0,80,2,0.08146308540985196
RM1271,34.0,26-35,No,Travel Rarely,511.0,Sales,3.0,2.0,Life Science,1.0,1779,4.0,Female,32.0,1.0,2.0,Sales Executive,4.0,Single,6029.0,5k-10k,25353.0,5.0,Y,No,12.0,0.12,3.0,1.0,80,1,0.20125358971284432
RM416,34.0,26-35,Yes,Travel Frequently,296.0,Sales,6.0,2.0,Marketing,1.0,555,4.0,Female,33.0,1.0,1.0,Sales Representative,3.0,Divorced,2351.0,Upto 5k,12253.0,0.0,Y,No,16.0,0.16,3.0,4.0,80,3,0.20694192132982173
RM145,32.0,26-35,No,Travel Frequently,689.0,Sales,9.0,2.0,Medical,1.0,195,4.0,Male,35.0,1.0,2.0,Sales Executive,4.0,Divorced,4668.0,Upto 5k,22812.0,0.0,Y,No,17.0,0.17,3.0,4.0,80,0,0.16982621646568746
RM952,41.0,36-45,No,Non Travel,256.0,Sales,10.0,2.0,Medical,1.0,1329,3.0,Male,40.0,1.0,2.0,Sales Executive,2.0,Single,6151.0,5k-10k,22074.0,1.0,Y,No,13.0,0.13,3.0,1.0,80,3,0.289172091078075
